, Country,location
0,Other,"(60.59913645, -134.88025127327944)"
1,Andorra,"(42.5407167, 1.5732033)"
2,United Arab Emirates,"(24.0002488, 53.9994829)"
3,Afghanistan,"(33.7680065, 66.2385139)"
4,Antigua and Barbuda,"(17.2234721, -61.9554608)"
5,Anguilla,"(18.1954947, -63.0750234)"
6,Albania,"(41.000028, 19.9999619)"
7,Armenia,"(40.7696272, 44.6736646)"
8,Angola,"(-11.8775768, 17.5691241)"
9,Argentina,"(-34.9964963, -64.9672817)"
10,American Samoa,"(-14.300630949999999, -170.69597479165532)"
11,Austria,"(47.2000338, 13.199959)"
12,Australia,"(-24.7761086, 134.755)"
13,Aruba,"(12.5013629, -69.9618475)"
14,Azerbaijan,"(40.3936294, 47.7872508)"
15,Bosnia and Herzegovina,"(44.3053476, 17.5961467)"
16,Barbados,"(13.1500331, -59.5250305)"
17,Bangladesh,"(24.4768783, 90.2932426)"
18,Belgium,"(50.6402809, 4.6667145)"
19,Burkina Faso,"(12.0753083, -1.6880314)"
20,Bulgaria,"(42.6073975, 25.4856617)"
21,Bahrain,"(26.1551249, 50.5344606)"
22,Burundi,"(-3.3634357, 29.8870575)"
23,Benin,"(9.5293472, 2.2584408)"
24,Saint Barthélemy,"(17.900773100000002, -62.7971665877911)"
25,Bermuda,"(32.3018217, -64.7603583)"
26,Brunei Darussalam,"(4.4137155, 114.5653908)"
27,Bolivia (Plurinational State of),"(-17.0568696, -64.9912286)"
28,"Bonaire, Sint Eustatius and Saba","(12.1684798, -68.24703234151355)"
29,Brazil,"(-10.3333333, -53.2)"
30,Bahamas,"(24.7736546, -78.0000547)"
31,Bhutan,"(27.549511, 90.5119273)"
32,Botswana,"(-23.1681782, 24.5928742)"
33,Belarus,"(53.4250605, 27.6971358)"
34,Belize,"(16.8259793, -88.7600927)"
35,Canada,"(61.0666922, -107.9917071)"
36,Democratic Republic of the Congo,"(-2.9814344, 23.8222636)"
37,Central African Republic,"(7.0323598, 19.9981227)"
